BLVDS_25 HR 2.5 2.5 N/A N/A
DIFF_HSTL_I Both 1.5 Any N/A N/A
DIFF_HSTL_I_18 Both 1.8 Any N/A N/A
DIFF_HSTL_I_DCI HP 1.5 1.5 N/A N/A
DIFF_HSTL_I_DCI_18 HP 1.8 1.8 N/A N/A
DIFF_HSTL_II Both 1.5 Any N/A N/A
DIFF_HSTL_II_18 Both 1.8 Any N/A N/A
DIFF_HSTL_II_DCI HP 1.5 1.5 N/A N/A
DIFF_HSTL_II_DCI_18 HP 1.8 1.8 N/A N/A
DIFF_HSTL_II_T_DCI HP 1.5 1.5 N/A N/A
DIFF_HSTL_II_T_DCI_18 HP 1.8 1.8 N/A N/A
DIFF_HSUL_12 Both 1.2 Any N/A N/A
DIFF_HSUL_12_DCI HP 1.2 1.2 N/A N/A
DIFF_MOBILE_DDR HR 1.8 1.8 N/A N/A
DIFF_SSTL12 HP 1.2 Any N/A N/A
DIFF_SSTL12_DCI HP 1.2 1.2 N/A N/A
DIFF_SSTL12_T_DCI HP 1.2 1.2 N/A N/A
DIFF_SSTL135 Both 1.35 Any N/A N/A
DIFF_SSTL135_R HR 1.35 Any N/A N/A
DIFF_SSTL135_DCI HP 1.35 1.35 N/A N/A
DIFF_SSTL135_T_DCI HP 1.35 1.35 N/A N/A
DIFF_SSTL15 Both 1.5 Any N/A N/A
DIFF_SSTL15_R HR 1.5 Any N/A N/A
DIFF_SSTL15_DCI HP 1.5 1.5 N/A N/A
DIFF_SSTL15_T_DCI HP 1.5 1.5 N/A N/A
DIFF_SSTL18_I Both 1.8 Any N/A N/A
DIFF_SSTL18_I_DCI HP 1.8 1.8 N/A N/A
DIFF_SSTL18_II Both 1.8 Any N/A N/A
DIFF_SSTL18_II_DCI HP 1.8 1.8 N/A N/A
DIFF_SSTL18_II_T_DCI HP 1.8 1.8 N/A N/A
HSLVDCI_15 HP 1.5 Any N/A 0.75
HSLVDCI_18 HP 1.8 Any N/A 0.9
HSTL_I Both 1.5 Any N/A 0.75
HSTL_I_12 HP 1.2 Any N/A 0.6
HSTL_I_18 Both 1.8 Any N/A 0.9
HSTL_I_DCI HP 1.5 1.5 N/A 0.75
HSTL_I_DCI_18 HP 1.8 1.8 N/A 0.9
HSTL_II Both 1.5 Any N/A 0.75
HSTL_II_18 Both 1.8 Any N/A 0.9
HSTL_II_DCI HP 1.5 1.5 N/A 0.75
HSTL_II_DCI_18 HP 1.8 1.8 N/A 0.9
HSTL_II_T_DCI HP 1.5 1.5 N/A 0.75
HSTL_II_T_DCI_18 HP 1.8 1.8 N/A 0.9
HSUL_12 Both 1.2 Any N/A 0.6
HSUL_12_DCI HP 1.2 1.2 N/A 0.6
LVCMOS12 Both 1.2 1.2 N/A N/A
LVCMOS15 Both 1.5 1.5 N/A N/A
LVCMOS18 Both 1.8 1.8 N/A N/A
LVCMOS25 HR 2.5 2.5 N/A N/A
LVCMOS33 HR 3.3 3.3 N/A N/A
LVDCI_15 HP 1.5 1.5 N/A N/A
LVDCI_18 HP 1.8 1.8 N/A N/A
LVDCI_DV2_15 HP 1.5 1.5 N/A N/A
LVDCI_DV2_18 HP 1.8 1.8 N/A N/A
LVDS HP 1.8 1.8 1.8 N/A
LVDS_25 HR 2.5 2.5 2.5 N/A
SSTL12 HP 1.2 Any N/A 0.6
SSTL12_DCI HP 1.2 1.2 N/A 0.6
SSTL12_T_DCI HP 1.2 1.2 N/A 0.6
LVTTL HR 3.3 3.3 N/A N/A
MINI_LVDS_25 HR 2.5 2.5 2.5 N/A
MOBILE_DDR HR 1.8 1.8 N/A N/A
PCI33_3 HR 3.3 3.3 N/A N/A
PPDS_25 HR 2.5 2.5 2.5 N/A
RSDS_25 HR 2.5 2.5 2.5 N/A
SSTL135 Both 1.35 Any N/A 0.675
SSTL135_R HR 1.35 Any N/A 0.675
SSTL135_DCI HP 1.35 1.35 N/A 0.675
SSTL135_T_DCI HP 1.35 1.35 N/A 0.675
SSTL15 Both 1.5 Any N/A 0.75
SSTL15_R HR 1.5 Any N/A 0.75
SSTL15_DCI HP 1.5 1.5 N/A 0.75
SSTL15_T_DCI HP 1.5 1.5 N/A 0.75
SSTL18_I Both 1.8 Any N/A 0.9
SSTL18_I_DCI HP 1.8 1.8 N/A 0.9
SSTL18_II Both 1.8 Any N/A 0.9
SSTL18_II_DCI HP 1.8 1.8 N/A 0.9
SSTL18_II_T_DCI HP 1.8 1.8 N/A 0.9
TMDS_33 HR 3.3 Any N/A N/A
