# ECP5-5G caBGA381 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 0.0,,,,,,,,,,,,,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5UM5G-25,,,,,,,,LFE5UM5G-45,,,,,,,,LFE5UM5G-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
A2,PL14A,7,-,True_OF_PL14B,TRUE,LDQ20,,A2,PL23A,7,-,True_OF_PL23B,TRUE,LDQ29,,A2,PL35A,7,-,True_OF_PL35B,TRUE,LDQ41
A3,PL5C,7,-,True_OF_PL5D,-,LDQ8,,A3,PL14C,7,-,True_OF_PL14D,-,LDQ17,,A3,PL14C,7,-,True_OF_PL14D,-,LDQ17
A4,PL2A,7,-,True_OF_PL2B,TRUE,LDQ8,,A4,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17,,A4,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17
A5,PL2B,7,-,Comp_OF_PL2A,TRUE,LDQ8,,A5,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17,,A5,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17
A6,PT4A,0,-,True_OF_PT4B,-,-,,A6,PT4A,0,ULC_GPLL1T_IN,True_OF_PT4B,-,-,,A6,PT4A,0,ULC_GPLL1T_IN,True_OF_PT4B,-,-
A7,PT18A,0,-,True_OF_PT18B,-,-,,A7,PT18A,0,-,True_OF_PT18B,-,-,,A7,PT18A,0,-,True_OF_PT18B,-,-
A8,PT18B,0,-,Comp_OF_PT18A,-,-,,A8,PT18B,0,-,Comp_OF_PT18A,-,-,,A8,PT18B,0,-,Comp_OF_PT18A,-,-
A9,PT24A,0,GR_PCLK0_1,True_OF_PT24B,-,-,,A9,PT33A,0,GR_PCLK0_1,True_OF_PT33B,-,-,,A9,PT60A,0,GR_PCLK0_1,True_OF_PT60B,-,-
A10,PT27A,0,PCLKT0_1,True_OF_PT27B,-,-,,A10,PT36A,0,PCLKT0_1,True_OF_PT36B,-,-,,A10,PT63A,0,PCLKT0_1,True_OF_PT63B,-,-
A11,PT27B,0,PCLKC0_1,Comp_OF_PT27A,-,-,,A11,PT36B,0,PCLKC0_1,Comp_OF_PT36A,-,-,,A11,PT63B,0,PCLKC0_1,Comp_OF_PT63A,-,-
