LCSC Part;MFR.Part;First Category;Second Category;Package;Solder Joint;Manufacturer;Library Type
C25725;10KΩ (103) ±5%;Resistors;Resistor Networks & Arrays;0402_x4;8;Uniroyal Elec;base
C25726;1KΩ (102) ±5%;Resistors;Resistor Networks & Arrays;0402_x4;8;Uniroyal Elec;base
C25501;33Ω (330) ±5%;Resistors;Resistor Networks & Arrays;0402_x4;8;Uniroyal Elec;base
C25510;470Ω (471) ±5%;Resistors;Resistor Networks & Arrays;0603_x4;8;Uniroyal Elec;base
C29718;10KΩ (103) ±5%;Resistors;Resistor Networks & Arrays;0603_x4;8;Uniroyal Elec;base
C20197;1KΩ (102) ±5%;Resistors;Resistor Networks & Arrays;0603_x4;8;Uniroyal Elec;base
C1980;4.7KΩ (472) ±5%;Resistors;Resistor Networks & Arrays;0603_x4;8;Uniroyal Elec;base
C32375;22uH ±10%;Inductors & Chokes & Transformers;Inductors (SMD);0805;2;Sunlord;base
C51725;3.3uH±10%;Inductors & Chokes & Transformers;Inductors (SMD);0805;2;Sunlord;base
C14304;47uH ±10%;Inductors & Chokes & Transformers;Inductors (SMD);0805;2;Sunlord;base
C1042;1uH ±10%;Inductors & Chokes & Transformers;Inductors (SMD);0805;2;Sunlord;base
C1043;2.2uH ±10%;Inductors & Chokes & Transformers;Inductors (SMD);0805;2;Guangdong Fenghua Advanced Tech;base
C1046;10uH ±10%;Inductors & Chokes & Transformers;Inductors (SMD);0805;2;Sunlord;base
C68035;100uH ±10%;Inductors & Chokes & Transformers;Inductors (SMD);0805;2;TDK;base
C1034;4.7uH ±10%;Inductors & Chokes & Transformers;Inductors (SMD);0603;2;Sunlord;base
C1035;10uH ±10%;Inductors & Chokes & Transformers;Inductors (SMD);0603;2;Sunlord;base
C1049;4.7uH  ±10%;Inductors & Chokes & Transformers;Inductors (SMD);1206;2;Guangdong Fenghua Advanced Tech;base
C1051;10uH ±10%;Inductors & Chokes & Transformers;Inductors (SMD);1206;2;Guangdong Fenghua Advanced Tech;base
C4410;1KΩ (1001) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17985;750Ω (7500) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17887;300Ω (3000) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17888;0Ω (0R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17900;100KΩ (1003) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17901;100Ω (1000) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17902;10KΩ (1002) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17903;10Ω (10R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17924;180Ω (1800) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17928;1Ω (1R00) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17936;4.7KΩ (4701) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17944;2KΩ (2001) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17955;20Ω (20R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17958;22Ω (22R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C22107;1.2MΩ (1204) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C25334;0.1Ω (R100) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;base
C17168;0Ω (0R0) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25076;100Ω (1000) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25092;22Ω (22R0) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25117;470Ω (4700) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25120;49.9Ω (49R9) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25741;100KΩ (1003) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25744;10KΩ (1002) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
