A4,PL2A,bidirectional,Bank 7,
A5,PL2B,bidirectional,Bank 7,
B5,PL2C,bidirectional,Bank 7,
C5,PL2D,bidirectional,Bank 7,
C4,PL5A,bidirectional,Bank 7,
A3,PL5C,bidirectional,Bank 7,
B4,PL5B,bidirectional,Bank 7,
B3,PL5D,bidirectional,Bank 7,
E4,PL8A,bidirectional,Bank 7,
C3,PL8C,bidirectional,Bank 7,
D5,PL8B,bidirectional,Bank 7,
D3,PL8D,bidirectional,Bank 7,
F4,PL11A,bidirectional,Bank 7,
E5,PL11C,bidirectional,Bank 7,
E3,PL11B,bidirectional,Bank 7,
F5,PL11D,bidirectional,Bank 7,
A2,PL14A,bidirectional,Bank 7,
B2,PL14C,bidirectional,Bank 7,VREF1_7
B1,PL14B,bidirectional,Bank 7,
C2,PL14D,bidirectional,Bank 7,
C1,PL17A,bidirectional,Bank 7,
D2,PL17C,bidirectional,Bank 7,
D1,PL17B,bidirectional,Bank 7,
E1,PL17D,bidirectional,Bank 7,
H4,PL20A,bidirectional,Bank 7,GR_PCLK7_1
H5,PL20C,bidirectional,Bank 7,GR_PCLK7_0
G5,PL20B,bidirectional,Bank 7,
H3,PL20D,bidirectional,Bank 7,
G3,PL23A,bidirectional,Bank 7,PCLKT7_1
F2,PL23C,bidirectional,Bank 7,PCLKT7_0
F3,PL23B,bidirectional,Bank 7,PCLKC7_1
E2,PL23D,bidirectional,Bank 7,PCLKC7_0
G2,PL26A,bidirectional,Bank 6,PCLKT6_1
H2,PL26C,bidirectional,Bank 6,PCLKT6_0
F1,PL26B,bidirectional,Bank 6,PCLKC6_1
G1,PL26D,bidirectional,Bank 6,PCLKC6_0
J4,PL29A,bidirectional,Bank 6,GR_PCLK6_0
J3,PL29C,bidirectional,Bank 6,GR_PCLK6_1
J5,PL29B,bidirectional,Bank 6,
K3,PL29D,bidirectional,Bank 6,
K2,PL32A,bidirectional,Bank 6,
H1,PL32C,bidirectional,Bank 6,
J1,PL32B,bidirectional,Bank 6,
K1,PL32D,bidirectional,Bank 6,
K4,PL35A,bidirectional,Bank 6,
L4,PL35C,bidirectional,Bank 6,
K5,PL35B,bidirectional,Bank 6,VREF1_6
L5,PL35D,bidirectional,Bank 6,
M4,PL38A,bidirectional,Bank 6,
N4,PL38C,bidirectional,Bank 6,
N5,PL38B,bidirectional,Bank 6,
P5,PL38D,bidirectional,Bank 6,
N3,PL41A,bidirectional,Bank 6,
L3,PL41C,bidirectional,Bank 6,
M3,PL41B,bidirectional,Bank 6,
L2,PL41D,bidirectional,Bank 6,
N2,PL44A,bidirectional,Bank 6,
L1,PL44C,bidirectional,Bank 6,
M1,PL44B,bidirectional,Bank 6,
N1,PL44D,bidirectional,Bank 6,
P1,PL47A,bidirectional,Bank 6,
P2,PL47B,bidirectional,Bank 6,
P3,PL47C,bidirectional,Bank 6,LLC_GPLL0T_IN
P4,PL47D,bidirectional,Bank 6,LLC_GPLL0C_IN
R1,PB4A,bidirectional,Bank 8,D7/IO7
U1,PB6A,bidirectional,Bank 8,D5/MISO2/IO5
T1,PB4B,bidirectional,Bank 8,D6/IO6
V1,PB6B,bidirectional,Bank 8,D4/MOSI2/IO4
W1,PB9A,bidirectional,Bank 8,D3/IO3
V2,PB11A,bidirectional,Bank 8,D1/MISO/IO1
Y2,PB9B,bidirectional,Bank 8,D2/IO2
W2,PB11B,bidirectional,Bank 8,D0/MOSI/IO0
T2,PB13A,bidirectional,Bank 8,SN/CSN
R2,PB15A,bidirectional,Bank 8,HOLDN/DI/BUSY/CSSPIN/CEN
U2,PB13B,bidirectional,Bank 8,CS1N
R3,PB15B,bidirectional,Bank 8,DOUT/CSON
T3,PB18A,bidirectional,Bank 8,WRITEN
V3,INITN,bidirectional,Bank 8,
U3,CCLK,bidirectional,Bank 8,MCLK/SCK
W3,PROGRAMN,input,Bank 8,
Y3,DONE,bidirectional,Bank 8,
T4,CFG_1,input,Bank 8,
R4,CFG_2,input,Bank 8,
U4,CFG_0,input,Bank 8,
V4,TDO,output,Bank 40,
T5,TCK,input,Bank 40,
R5,TDI,input,Bank 40,
U5,TMS,input,Bank 40,
W4,HDTXP0_D0CH0,output,Bank 50,
T7,VCCHTX0_D0CH0,power_input,Power,
W5,HDTXN0_D0CH0,output,Bank 50,
Y5,HDRXP0_D0CH0,input,Bank 50,
T8,VCCHRX0_D0CH0,power_input,Power,
Y6,HDRXN0_D0CH0,input,Bank 50,
Y7,HDRXP0_D0CH1,input,Bank 50,
T9,VCCHRX1_D0CH1,power_input,Power,
Y8,HDRXN0_D0CH1,input,Bank 50,
W8,HDTXP0_D0CH1,output,Bank 50,
T10,VCCHTX1_D0CH1,power_input,Power,
W9,HDTXN0_D0CH1,output,Bank 50,
W10,RESERVED,not_connected,Bank 8,
W11,RESERVED,not_connected,Bank 8,
Y11,REFCLKP_D0,input,Bank 50,
Y12,REFCLKN_D0,input,Bank 50,
T17,PR47D,bidirectional,Bank 3,LRC_GPLL0C_IN
U16,PR47C,bidirectional,Bank 3,LRC_GPLL0T_IN
U17,PR47B,bidirectional,Bank 3,
U18,PR47A,bidirectional,Bank 3,
T18,PR44D,bidirectional,Bank 3,
R18,PR44B,bidirectional,Bank 3,
U19,PR44C,bidirectional,Bank 3,
T19,PR44A,bidirectional,Bank 3,
U20,PR41D,bidirectional,Bank 3,
R20,PR41B,bidirectional,Bank 3,
T20,PR41C,bidirectional,Bank 3,
P20,PR41A,bidirectional,Bank 3,
P18,PR38D,bidirectional,Bank 3,
N20,PR38B,bidirectional,Bank 3,
P19,PR38C,bidirectional,Bank 3,
N19,PR38A,bidirectional,Bank 3,
R17,PR35D,bidirectional,Bank 3,
P16,PR35B,bidirectional,Bank 3,VREF1_3
R16,PR35C,bidirectional,Bank 3,
N17,PR35A,bidirectional,Bank 3,
P17,PR32D,bidirectional,Bank 3,
M17,PR32B,bidirectional,Bank 3,
N18,PR32C,bidirectional,Bank 3,
N16,PR32A,bidirectional,Bank 3,
M18,PR29D,bidirectional,Bank 3,
L17,PR29B,bidirectional,Bank 3,
L18,PR29C,bidirectional,Bank 3,GR_PCLK3_1
L16,PR29A,bidirectional,Bank 3,GR_PCLK3_0
M19,PR26D,bidirectional,Bank 3,PCLKC3_0
M20,PR26B,bidirectional,Bank 3,PCLKC3_1
L19,PR26C,bidirectional,Bank 3,PCLKT3_0
L20,PR26A,bidirectional,Bank 3,PCLKT3_1
K20,PR23D,bidirectional,Bank 2,PCLKC2_0
K19,PR23B,bidirectional,Bank 2,PCLKC2_1
J20,PR23C,bidirectional,Bank 2,PCLKT2_0
J19,PR23A,bidirectional,Bank 2,PCLKT2_1
K18,PR20D,bidirectional,Bank 2,
H20,PR20B,bidirectional,Bank 2,
J18,PR20C,bidirectional,Bank 2,GR_PCLK2_0
G19,PR20A,bidirectional,Bank 2,GR_PCLK2_1
G20,PR17D,bidirectional,Bank 2,
F19,PR17B,bidirectional,Bank 2,
F20,PR17C,bidirectional,Bank 2,
E20,PR17A,bidirectional,Bank 2,
E19,PR14D,bidirectional,Bank 2,
D19,PR14B,bidirectional,Bank 2,
D20,PR14C,bidirectional,Bank 2,VREF1_2
C20,PR14A,bidirectional,Bank 2,
J16,PR11D,bidirectional,Bank 2,
H17,PR11B,bidirectional,Bank 2,
J17,PR11C,bidirectional,Bank 2,
H18,PR11A,bidirectional,Bank 2,
H16,PR8D,bidirectional,Bank 2,
G18,PR8B,bidirectional,Bank 2,
G16,PR8C,bidirectional,Bank 2,
F17,PR8A,bidirectional,Bank 2,
F18,PR5D,bidirectional,Bank 2,
E17,PR5B,bidirectional,Bank 2,
E18,PR5C,bidirectional,Bank 2,
D18,PR5A,bidirectional,Bank 2,
F16,PR2D,bidirectional,Bank 2,
E16,PR2C,bidirectional,Bank 2,
D17,PR2B,bidirectional,Bank 2,S0_IN
C18,PR2A,bidirectional,Bank 2,
