MPN,QTY,Ref. Des.,Value,Manufacturer,Description,Datasheet,Package
MYS-7Z010-L-C-S,1,A101,MYS-7Z010-L-C-S,MYIR,Z-turn Lite Zynq 7010 devboard,http://www.myirtech.com/soft.asp?id=927,BTH-060-01-F-D-A
Axiom plugin module,2,"A601, A602",Axiom plugin module,"",Plugin module slot of axiom cameras,"",PCIE-036-02-F-D-TH
axiom_shield_north,1,A603,axiom_shield_north,"","","",2x8_female
axiom_shield_south,1,A604,axiom_shield_south,"","","",2x8_female
axiom_micro_r3_image_sensor,2,"A1101, A1102",axiom_micro_r3_image_sensor,"",axiom micro r3 image sensor board,"",528850474
CL05B104KO5NNN,96,"C101, C102, C201, C202, C203, C204, C205, C206, C207, C208, C209, C301, C302, C403, C405, C410, C411, C416, C422, C425, C430, C431, C434, C441, C447, C448, C449, C450, C451, C452, C453, C454, C455, C456, C457, C460, C461, C462, C463, C481, C486, C504, C506, C508, C512, C514, C516, C517, C519, C521, C523, C601, C602, C702, C704, C712, C713, C801, C804, C807, C811, C814, C818, C819, C822, C827, C828, C901, C905, C911, C915, C916, C924, C928, C929, C937, C941, C942, C950, C954, C955, C1001, C1005, C1011, C1015, C1016, C1024, C1028, C1029, C1037, C1041, C1042, C1050, C1054, C1055, C1202",100 nF,Samsung,Ceramic Capacitor 100 nF 16 V X7R,http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B104KO5NNNC.jsp,C0402
CL10A226MQ8NRN,114,"C103, C106, C107, C108, C109, C501, C509, C705, C708, C709, C710, C711, C714, C717, C718, C719, C720, C805, C806, C815, C816, C817, C823, C824, C825, C826, C902, C903, C912, C913, C917, C918, C919, C920, C921, C922, C923, C925, C926, C930, C931, C932, C933, C934, C935, C936, C938, C939, C943, C944, C945, C946, C947, C948, C949, C951, C952, C956, C957, C958, C959, C960, C961, C962, C1002, C1003, C1012, C1013, C1017, C1018, C1019, C1020, C1021, C1022, C1023, C1025, C1026, C1030, C1031, C1032, C1033, C1034, C1035, C1036, C1038, C1039, C1043, C1044, C1045, C1046, C1047, C1048, C1049, C1051, C1052, C1056, C1057, C1058, C1059, C1060, C1061, C1062, C1101, C1102, C1103, C1104, C1105, C1106, C1107, C1108, C1109, C1110, C1111, C1112",22 µF,Samsung,Ceramic Capacitor 22 µF 6.3 V X5R,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10A226MQ8NRND.jsp,C0603
CL05A105KA5NQN,36,"C104, C105, C402, C409, C415, C421, C429, C433, C440, C446, C459, C480, C485, C502, C503, C505, C510, C511, C513, C701, C703, C706, C707, C715, C716, C904, C914, C927, C940, C953, C1004, C1014, C1027, C1040, C1053, C1201",1 µF,Samsung,Ceramic Capacitor 1 µF 25 V X5R,http://www.samsungsem.com/kr/support/product-search/mlcc/CL05A105KA5NQNC.jsp,C0402
CL05A106MQ5NUN,17,"C401, C408, C414, C420, C428, C432, C439, C445, C458, C479, C484, C803, C808, C810, C813, C821, C829",10 µF,Samsung,Ceramic Capacitor 10 µF 6.3 V X5R,http://www.samsungsem.com/kr/support/product-search/mlcc/CL05A106MQ5NUNC.jsp,C0402
CL05B103KB5NNN,39,"C404, C406, C412, C413, C417, C423, C426, C435, C437, C438, C442, C464, C465, C466, C467, C468, C469, C470, C471, C472, C473, C474, C475, C476, C477, C478, C482, C487, C507, C515, C518, C520, C522, C524, C525, C906, C907, C1006, C1007",10 nF,Samsung,Ceramic Capacitor 10 nF 50 V X7R,http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B103KB5NNND.jsp,C0402
0402B102K500NT,10,"C407, C418, C419, C424, C427, C436, C443, C444, C483, C488",1 nF,GUANGDONG FENGHUA,"",https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf,C0402
0402CG470J500NT,3,"C802, C812, C820",47 pF,GUANGDONG FENGHUA,"",https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf,C0402
CL05B224KO5NNN,1,C809,220 nF,Samsung,Ceramic Capacitor 220 nF 16 V X7R,http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B224KO5NNND.jsp,C0402
CL10A225KO8NNN,6,"C908, C909, C910, C1008, C1009, C1010",2.2 µF,Samsung,Ceramic Capacitor 2.2 µF 16 V X5R,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10A225KO8NNNC.jsp,C0603
C2290,4,"D201, D301, D501, D502",C2290,Hubei KENTO Elec,White 0603 Light Emitting Diodes (LED) RoHS,https://datasheet.lcsc.com/szlcsc/1809041711_Hubei-KENTO-Elec-C2290_C2290.pdf,0603 LED
TPD4E02B042,6,"D701, D702, D703, D704, D705, D706",TPD4E02B042,Texas Instruments,4-Channel ESD Protection Diode for USB Type-C and HDMI 2.0,http://www.ti.com/lit/gpn/tpd4e02b04,USON-10
TPD1E10B06,2,"D707, D708",TPD1E10B06,Texas Instruments,Single-Channel ESD Protection Diode in 0402 Package,http://www.ti.com/lit/gpn/tpd1e10b06,D0402
MPZ2012S101AT000,13,"FB401, FB402, FB403, FB404, FB405, FB406, FB407, FB408, FB409, FB410, FB411, FB501, FB502",MPZ2012S101AT000,TDK,100Ω @ 100MHz 4A 1 20mΩ 0805 Ferrite Beads RoHS,https://datasheet.lcsc.com/szlcsc/TDK-MPZ2012S101AT000_C15957.pdf,C0805
"Generic Pin header 1×4, 2.54mm pitch, vertical",2,"J301, J1201","Generic Pin header 1×4, 2.54mm pitch, vertical","","","","Pin header 1×4, 2.54mm pitch, vertical"
Generic 2x5 1.27mm IDC header,1,J302,Generic 2x5 1.27mm IDC header,"","","",2x5-vertical
UJ31-CH-3-SMT-TR,2,"J701, J702",UJ31-CH-3-SMT-TR,CUI,Full USB type C connector,https://datasheet.octopart.com/UJ31-CH-3-SMT-TR-CUI-Devices-datasheet-134028398.pdf,UJ31-CH-3-SMT-TR
three-way-jumper,3,"JP301, JP302, JP303",three-way-jumper,CPL,Three way jumper 0603,"",0603-three-way-jumper
MWSA0518S-6R8MT,2,"L801, L802",6.8 µH,Sunlord,"6.8uH ±20% 2.8A 120mΩ SMD,5.2x5.4x1.8mm Power Inductors RoHS",https://datasheet.lcsc.com/szlcsc/1912111437_Sunlord-MWSA0518S-6R8MT_C408348.pdf,SUNLORD-MWSA05XXS
MWSA0503S-4R7MT,1,L803,4.7 µH,Sunlord,"4.7uH ±20% 4.5A 60mΩ SMD,5.2x5.4x3.0mm Power Inductors RoHS",https://datasheet.lcsc.com/szlcsc/1912111437_Sunlord-MWSA0503S-4R7MT_C408410.pdf,SUNLORD-MWSA05XXS
MWSA0518S-2R2MT,8,"L901, L902, L903, L904, L1001, L1002, L1003, L1004",2.2 µH,Sunlord,"2.2uH ±20% 5A 35mΩ SMD,5.2x5.4x1.8mm Power Inductors RoHS",https://datasheet.lcsc.com/szlcsc/1912111437_Sunlord-MWSA0518S-2R2MT_C408345.pdf,SUNLORD-MWSA05XXS
0805W8F100MT5E,8,"R101, R601, R602, R714, R801, R806, R811, R1101",0.01,Uniroyal Elec,LOW RESISTORS & CURRENT SENSE RESISTORS - SURFACE MOUNT 0.01OHMS ±1% 1/8W 0805 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F100MT5E_C127699.pdf,R0805
0402WGF1005TCE,3,"R102, R709, R715",10M,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 10MOHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0402WGF100JTCE,12,"R103, R104, R105, R106, R710, R711, R712, R713, R716, R717, R718, R719",10,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 10OHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0402WGF1002TCE,35,"R201, R302, R305, R306, R307, R308, R312, R314, R315, R701, R707, R803, R804, R810, R902, R903, R905, R907, R908, R909, R911, R914, R917, R920, R1002, R1004, R1007, R1008, R1010, R1013, R1016, R1019, R1205, R1206, R1207",10k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0402WGF4701TCE,9,"R202, R301, R303, R309, R310, R311, R313, R529, R532",4.7k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 4.7KOHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0402WGF1001TCE,17,"R304, R910, R912, R913, R915, R916, R918, R919, R921, R1009, R1011, R1012, R1014, R1015, R1017, R1018, R1020",1k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0402WGF499JTCE,28,"R501, R502, R503, R504, R505, R506, R507, R508, R510, R511, R512, R513, R514, R515, R516, R517, R518, R519, R521, R522, R523, R524, R525, R526, R527, R528, R530, R531",49.9,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 49.9OHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0603WAF2400T5E,1,R509,240,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 240OHMS ±1% 1/10W 0603 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1102T5E_C25950.pdf,R0603
0402WGF0000TCE,5,"R520, R703, R704, R706, R708",0,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0402WGF1501TCE,2,"R702, R705",1.5k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 1.5KOHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0402WGF1003TCE,3,"R802, R807, R812",100k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 100KOHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0402WGF2202TCE,1,R805,22k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 22KOHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0603WAF2702T5E,1,R808,27k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 27KOHMS ±1% 1/10W 0603 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1102T5E_C25950.pdf,R0603
0603WAF4301T5E,1,R809,4.3k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 4.3KOHMS ±1% 1/10W 0603 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1102T5E_C25950.pdf,R0603
0603WAF8202T5E,1,R813,82k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 82KOHMS ±1% 1/10W 0603 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1102T5E_C25950.pdf,R0603
0603WAF1602T5E,1,R814,16k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 16KOHMS ±1% 1/10W 0603 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1102T5E_C25950.pdf,R0603
0402WGF1200TCE,1,R815,120,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 120OHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0603WAF220KT5E,2,"R901, R1001",2.2,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 2.2OHMS ±1% 1/10W 0603 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1102T5E_C25950.pdf,R0603
0402WGF5101TCE,2,"R904, R1003",5.1k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 5.1KOHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
0603WAF3601T5E,2,"R906, R1005",3.6k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 3.6KOHMS ±1% 1/10W 0603 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1102T5E_C25950.pdf,R0603
0603WAF1102T5E,1,R1006,11k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 11KOHMS ±1% 1/10W 0603 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1102T5E_C25950.pdf,R0603
0402WGF2001TCE,10,"R1201, R1202, R1203, R1204, R1208, R1209, R1210, R1211, R1212, R1213",2k,Uniroyal Elec,CHIP RESISTOR - SURFACE MOUNT 2KOHMS ±1% 1/16W 0402 ROHS,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100JTCE_C25077.pdf,R0402
NLSX5014,3,"U101, U601, U704",NLSX5014,ON Semiconductor,4 bit autosense level shifter,https://datasheet.octopart.com/NLSX5014MUTAG-ON-Semiconductor-datasheet-13720281.pdf,uqfn12
FPF1048BUCX,3,"U102, U703, U705",FPF1048BUCX,ON Semiconductor,"3 A-Capable, Slew-Rate-Controlled Load Switch with True Reverse Current Blocking",https://www.onsemi.com/pub/Collateral/FPF1048-D.pdf,wlcsp-6
LFE5UM5G-45F-8BG381C,1,U201,LFE5UM5G-45F-8BG381C,Lattice,ECP5 fpga,https://www.latticesemi.com/view_document?document_id=50461,caBGA-381
SG5032VAN 200.000000M-KEGA3,1,U202,SG5032VAN 200.000000M-KEGA3,EPSON,Crystal Oscillator 100 MHz LVDS output,https://support.epson.biz/td/api/doc_check.php?dl=brief_SG3225EAN_en.pdf,SG5032
W25Q16JVSSIQ ,1,U301,W25Q16JVSSIQ ,Winbond,16Mbit (Dual-; Quad-) SPI Flash,https://datasheet.octopart.com/W25Q16JVSSIQ-Winbond-datasheet-81825120.pdf,SOIC-8
TS-1187A-C-E-B,1,U302,TS-1187A-C-E-B,XKB,tactile switch,https://datasheet.lcsc.com/szlcsc/XKB-TS-1187A-C-E-A_C318887.pdf,TS-1187A
MT41K512M16HA,1,U501,MT41K512M16HA,Micron,8Gbit DDR3L RAM,https://www.mouser.de/datasheet/2/12/Micron_8Gb_DDR3_SDRAM_PartNo.MT41K512M16HA-107_125-1620705.pdf,fbga-96
PTN5150AHX,2,"U701, U702",PTN5150AHX,NXP,CC logic for USB Type-C applications,https://www.nxp.com/docs/en/data-sheet/PTN5150A.pdf,x2qfn-12
TPS54302DDCR,3,"U801, U803, U805",TPS54302DDCR,Texas Instruments,3A step down converter,https://www.ti.com/lit/ds/symlink/tps54302.pdf,sot-23-6
TPS51206DSQT,1,U802,TPS51206DSQT,Texas Instruments,2A Peak Sink/Source DDR Termination Regulator with VTTREF Buffered Reference for DDR2/3/3L/4,http://www.ti.com/lit/gpn/tps51206,wson
PAC1934T-I/JQ,2,"U804, U806",PAC1934T-I/JQ,Microchip,Quad DC Power Monitor with Accumulation,http://ww1.microchip.com/downloads/en/DeviceDoc/PAC1931-Family-Data-Sheet-DS20005850E.pdf,uqfn16
LD1117S12TR,1,U807,LD1117S12TR,ST,1.2V 800mA LDO,https://datasheet.octopart.com/LD1117S12TR-STMicroelectronics-datasheet-12512609.pdf,sot-223
IRPS5401MTRPBF,2,"U901, U1001",IRPS5401MTRPBF,Infineon,4A/4A/2A/2A PMIC with additional 500mA LDO,https://www.infineon.com/dgdl/Infineon-IRPS5401M-DataSheet-v02_04-EN.pdf?fileId=5546d4625cc9456a015cd69d402139db,PQFN-56
PCA9548APW,1,U1201,PCA9548APW,Texas Instruments,8 channel I2C mux,http://www.ti.com/lit/gpn/pca9548a,TSSOP-24
O322525MEDA4SC,1,Y301,O322525MEDA4SC,Yangxing Tech,25MHz ±20ppm 3.3V 20mA SMD Oscillators,https://datasheet.lcsc.com/szlcsc/1810161212_Yangxing-Tech-O322525MEDA4SC_C29208.pdf,4-SMD 3.2×2.5mm
